BinNumber	Soil	Trt	BoxNumber	Height	Mass
16	BiggsA	-	1	29.5	0.16
16	BiggsA	-	1	29.9	0.18
16	BiggsA	-	1	32	0.26
16	BiggsA	-	1	22.6	0.12
16	BiggsA	-	1	27.7	0.13
16	BiggsA	-	1	28.7	0.14
16	BiggsA	-	1	28.4	0.15
16	BiggsA	-	1	29.5	0.2
16	BiggsA	-	2	32.5	0.21
16	BiggsA	-	2	24	0.15
16	BiggsA	-	2	27.3	0.18
16	BiggsA	-	2	28.8	0.19
16	BiggsA	-	2	29.2	0.18
16	BiggsA	-	2	27.9	0.22
16	BiggsA	-	2	22.3	0.15
16	BiggsA	-	2	30.1	0.22
16	BiggsA	-	3	32	0.18
16	BiggsA	-	3	23.9	0.16
16	BiggsA	-	3	27.4	0.18
16	BiggsA	-	3	28.6	0.15
16	BiggsA	-	3	27.4	0.16
16	BiggsA	-	3	15.5	0.07
16	BiggsA	-	3	27.6	0.18
16	BiggsA	-	3	29.3	0.19
16	BiggsA	-	3	25.6	0.18
16	BiggsA	-	4	29.5	0.17
16	BiggsA	-	4	28.2	0.14
16	BiggsA	-	4	30.1	0.22
16	BiggsA	-	4	27.8	0.14
16	BiggsA	-	4	28.1	0.24
16	BiggsA	-	4	24.5	0.11
16	BiggsA	-	4	28.3	0.2
16	BiggsA	-	4	21.4	0.11
16	BiggsA	-	4	30.2	0.15
16	BiggsA	-	5	28.4	0.2
16	BiggsA	-	5	30.2	0.2
16	BiggsA	-	5	36.4	0.27
16	BiggsA	-	5	23.7	0.17
16	BiggsA	-	5	31.6	0.22
16	BiggsA	-	5	31.1	0.2
16	BiggsA	-	5	31.4	0.2
16	BiggsA	-	5	28.4	0.24
16	BiggsA	-	6	30.2	0.21
16	BiggsA	-	6	25.5	0.17
16	BiggsA	-	6	32.5	0.22
16	BiggsA	-	6	34.1	0.21
16	BiggsA	-	6	30.8	0.19
16	BiggsA	-	6	30.5	0.27
16	BiggsA	-	6	31.1	0.19
16	BiggsA	-	6	28.9	0.21
16	BiggsA	-	6	11.9	0.03
16	BiggsA	-	7	20.1	0.09
16	BiggsA	-	7	29.5	0.18
16	BiggsA	-	7	25	0.15
16	BiggsA	-	7	15.8	0.06
16	BiggsA	-	7	31.5	0.16
16	BiggsA	-	7	29.2	0.25
16	BiggsA	-	7	32	0.17
16	BiggsA	-	7	31.4	0.25
16	BiggsA	-	7	28.8	0.22
16	BiggsA	-	8	22.5	0.11
16	BiggsA	-	8	26.4	0.13
16	BiggsA	-	8	14.4	0.05
16	BiggsA	-	8	28.4	0.25
16	BiggsA	-	8	29.4	0.23
16	BiggsA	-	8	31	0.23
16	BiggsA	-	8	23.5	0.11
16	BiggsA	-	8	32.6	0.23
16	BiggsA	-	8	26.6	0.2
11	SacN	-	1	30.3	0.21
11	SacN	-	1	26.6	0.16
11	SacN	-	1	21.9	0.13
11	SacN	-	1	28.5	0.15
11	SacN	-	1	30.9	0.2
11	SacN	-	1	10.2	0.04
11	SacN	-	1	35.2	0.31
11	SacN	-	1	28.4	0.13
11	SacN	-	1	20.8	0.08
11	SacN	-	1	29.7	0.14
11	SacN	-	2	29.3	0.17
11	SacN	-	2	15.2	0.07
11	SacN	-	2	30.5	0.18
11	SacN	-	2	33.3	0.21
11	SacN	-	2	28	0.15
11	SacN	-	2	30.7	0.21
11	SacN	-	2	29.1	0.14
11	SacN	-	2	31.7	0.19
11	SacN	-	2	25.6	0.18
11	SacN	-	3	29.5	0.2
11	SacN	-	3	29.6	0.17
11	SacN	-	3	31.1	0.22
11	SacN	-	3	24.7	0.13
11	SacN	-	3	21.6	0.09
11	SacN	-	3	30.9	0.17
11	SacN	-	3	25.7	0.16
11	SacN	-	3	28	0.16
11	SacN	-	3	25.6	0.12
11	SacN	-	3	12.5	0.04
11	SacN	-	3	16	0.06
11	SacN	-	3	12.5	0.04
11	SacN	-	4	30.6	0.23
11	SacN	-	4	28.1	0.19
11	SacN	-	4	30.6	0.21
11	SacN	-	4	29	0.16
11	SacN	-	4	31.2	0.24
11	SacN	-	4	32.4	0.23
11	SacN	-	4	27.4	0.17
11	SacN	-	4	28.1	0.19
11	SacN	-	5	29.9	0.2
11	SacN	-	5	26.8	0.15
11	SacN	-	5	25.9	0.16
11	SacN	-	5	30.7	0.23
11	SacN	-	5	26.8	0.13
11	SacN	-	5	25.6	0.11
11	SacN	-	5	29.8	0.2
11	SacN	-	5	26.9	0.16
11	SacN	-	5	30.1	0.18
11	SacN	-	5	12.4	0.05
11	SacN	-	6	31.3	0.2
11	SacN	-	6	31.6	0.19
11	SacN	-	6	28.1	0.22
11	SacN	-	6	28.7	0.17
11	SacN	-	6	29.7	0.24
11	SacN	-	6	32	0.23
11	SacN	-	6	32.7	0.17
11	SacN	-	6	29.6	0.17
11	SacN	-	7	27.5	0.14
11	SacN	-	7	28.9	0.17
11	SacN	-	7	34.6	0.25
11	SacN	-	7	28.6	0.16
11	SacN	-	7	31.8	0.23
11	SacN	-	7	20.5	0.08
11	SacN	-	7	32.3	0.25
11	SacN	-	7	31.7	0.21
11	SacN	-	7	29.1	0.21
11	SacN	-	7	13.7	0.05
11	SacN	-	8	28.2	0.17
11	SacN	-	8	31.2	0.18
11	SacN	-	8	27.1	0.14
11	SacN	-	8	21.3	0.13
11	SacN	-	8	14.2	0.08
11	SacN	-	8	29.5	0.18
11	SacN	-	8	25.2	0.15
11	SacN	-	8	29	0.17
11	SacN	-	8	21.2	0.09
11	SacN	-	8	17.9	0.07
