host_common_name	host_subject_id	sample_type	collection_timestamp	SampleID	latitude	longitude	study	Plant_ID	Site	Age	Compartment	From	Experiment	Cultivar	LatinName
maize	Mo17	Rhizosphere	2010-07-01T00:00:00Z	1792.U445A62	-88.20727	40.11059	maize_ley	NA	NA	NA	NA	NA	NA	NA	NA
maize	Mo17	Rhizosphere	2010-07-01T00:00:00Z	1792.U445A61	-88.20727	40.11059	maize_ley	NA	NA	NA	NA	NA	NA	NA	NA
maize	CML103	Rhizosphere	2010-07-01T00:00:00Z	1792.U443A63	-88.20727	40.11059	maize_ley	NA	NA	NA	NA	NA	NA	NA	NA
maize	CML103	Rhizosphere	2010-07-01T00:00:00Z	1792.U443A62	-88.20727	40.11059	maize_ley	NA	NA	NA	NA	NA	NA	NA	NA
maize	CML103	Rhizosphere	2010-07-01T00:00:00Z	1792.U443A61	-88.20727	40.11059	maize_ley	NA	NA	NA	NA	NA	NA	NA	NA
maize	B97	Rhizosphere	2010-07-01T00:00:00Z	1792.U435A63	-88.20727	40.11059	maize_ley	NA	NA	NA	NA	NA	NA	NA	NA
maize	B97	Rhizosphere	2010-07-01T00:00:00Z	1792.U435A62	-88.20727	40.11059	maize_ley	NA	NA	NA	NA	NA	NA	NA	NA
maize	B97	Rhizosphere	2010-07-01T00:00:00Z	1792.U435A61	-88.20727	40.11059	maize_ley	NA	NA	NA	NA	NA	NA	NA	NA
maize	Oh43E	Rhizosphere	2010-07-01T00:00:00Z	1792.U433A63	-88.20727	40.11059	maize_ley	NA	NA	NA	NA	NA	NA	NA	NA
maize	Oh43E	Rhizosphere	2010-07-01T00:00:00Z	1792.U433A62	-88.20727	40.11059	maize_ley	NA	NA	NA	NA	NA	NA	NA	NA
maize	Oh43E	Rhizosphere	2010-07-01T00:00:00Z	1792.U433A61	-88.20727	40.11059	maize_ley	NA	NA	NA	NA	NA	NA	NA	NA
maize	P39	Rhizosphere	2010-07-01T00:00:00Z	1792.U429A63	-88.20727	40.11059	maize_ley	NA	NA	NA	NA	NA	NA	NA	NA
maize	P39	Rhizosphere	2010-07-01T00:00:00Z	1792.U429A62	-88.20727	40.11059	maize_ley	NA	NA	NA	NA	NA	NA	NA	NA
