Compartment	host_common_name	study	SampleID	depth	richness	shannon
Bulk Soil	maize	maize_ley	1792.ABS1	2493	1180	9.540450353987682
Bulk Soil	maize	maize_ley	1792.ABS11	3639	1547	9.76363536572709
Bulk Soil	maize	maize_ley	1792.ABS12	1190	575	8.463024146353723
Bulk Soil	maize	maize_ley	1792.ABS13	1029	619	8.783997573469474
Bulk Soil	maize	maize_ley	1792.ABS15	3119	1264	9.403256557512083
Bulk Soil	maize	maize_ley	1792.ABS4	2880	1206	9.472454190020803
Bulk Soil	maize	maize_ley	1792.ABS7	1957	965	9.283715435910501
Bulk Soil	maize	maize_ley	1792.ABS8	3136	1349	9.582157603136231
Bulk Soil	maize	maize_ley	1792.CBS1	1085	582	8.660880783233209
Bulk Soil	maize	maize_ley	1792.CBS10	3530	1325	9.510754592431951
Bulk Soil	maize	maize_ley	1792.CBS17	3146	1170	9.495707109515411
Bulk Soil	maize	maize_ley	1792.CBS25	1727	583	7.03696924750561
Bulk Soil	maize	maize_ley	1792.CBS28	1666	790	9.085107245767858
Bulk Soil	maize	maize_ley	1792.CBS34	3436	1206	8.616327662036657
Bulk Soil	maize	maize_ley	1792.CBS5	4457	1616	9.72649686965638
Bulk Soil	maize	maize_ley	1792.CBS8	2737	883	7.475033834704678
Bulk Soil	maize	maize_ley	1792.IBS1	2635	1254	9.637044135560034
Bulk Soil	maize	maize_ley	1792.IBS11	3806	1719	10.076161572021295
Bulk Soil	maize	maize_ley	1792.IBS14	2181	992	9.286796890302785
Bulk Soil	maize	maize_ley	1792.IBS17	4054	1259	9.366061233608667
Bulk Soil	maize	maize_ley	1792.IBS2	1806	945	9.34797880838746
Bulk Soil	maize	maize_ley	1792.IBS25	1996	781	8.83519444975974
Bulk Soil	maize	maize_ley	1792.IBS28	1367	549	8.37140461077966
Bulk Soil	maize	maize_ley	1792.IBS34	5163	1261	9.067114108696764
Bulk Soil	maize	maize_ley	1792.IBS4	4239	1477	9.077273725148443
Bulk Soil	maize	maize_ley	1792.IBS5	2675	488	7.307169427917129
Bulk Soil	maize	maize_ley	1792.IBS6	3141	1554	10.04105092960194
Bulk Soil	maize	maize_ley	1792.IBS8	2275	713	8.462259591155105
Bulk Soil	maize	maize_ley	1792.LBS1	1110	642	8.876331363269397
Bulk Soil	maize	maize_ley	1792.LBS11	1763	894	9.223233483869633
Bulk Soil	maize	maize_ley	1792.LBS2	1781	920	9.344176631463858
Bulk Soil	maize	maize_ley	1792.LBS4	2038	956	9.233978733056743
Bulk Soil	maize	maize_ley	1792.LBS5	3301	1430	9.802158448395073
Bulk Soil	maize	maize_ley	1792.LBS7	3422	1492	9.88194167825801
Bulk Soil	maize	maize_ley	1792.LBS8	2211	1089	9.466492674610121
Bulk Soil	maize	maize_ley	1792.LBS9	3413	1554	9.888774497315884
Endosphere	Rice	rice_edwards	JE.Lundberg.102	22929	2514	8.708365582472762
Endosphere	Rice	rice_edwards	JE.Lundberg.105	20921	2117	8.222632043433922
Endosphere	Rice	rice_edwards	JE.Lundberg.108	18496	2027	8.102614896178814
Endosphere	Rice	rice_edwards	JE.Lundberg.111	27188	2661	8.534792947435426
Endosphere	Rice	rice_edwards	JE.Lundberg.114	26945	2460	8.239086968683855
Endosphere	Rice	rice_edwards	JE.Lundberg.117	19337	1708	7.07170429853062
Endosphere	Rice	rice_edwards	JE.Lundberg.12	20431	1998	7.784541921208773
Endosphere	Rice	rice_edwards	JE.Lundberg.120	13541	727	4.4126894305132875
Endosphere	Rice	rice_edwards	JE.Lundberg.123	21797	2267	8.792714272957648
Endosphere	Rice	rice_edwards	JE.Lundberg.126	20473	2581	9.128349476026422
Endosphere	Rice	rice_edwards	JE.Lundberg.129	24383	2591	9.067164406215408
Endosphere	Rice	rice_edwards	JE.Lundberg.132	22149	2815	9.38282763447498
Endosphere	Rice	rice_edwards	JE.Lundberg.135	32051	3077	9.278709555704316
Endosphere	Rice	rice_edwards	JE.Lundberg.138	19057	2346	9.008614717875119
Endosphere	Rice	rice_edwards	JE.Lundberg.141	42726	3088	8.712675891509996
Endosphere	Rice	rice_edwards	JE.Lundberg.144	21330	2639	8.824754007569927
Endosphere	Rice	rice_edwards	JE.Lundberg.147	35870	3064	9.23008554828873
Endosphere	Rice	rice_edwards	JE.Lundberg.15	17130	1585	7.194921350622141
Endosphere	Rice	rice_edwards	JE.Lundberg.150	28764	2543	8.696240227876128
Endosphere	Rice	rice_edwards	JE.Lundberg.153	14957	1448	8.119745411978117
Endosphere	Rice	rice_edwards	JE.Lundberg.156	26698	2378	8.592307025446797
Endosphere	Rice	rice_edwards	JE.Lundberg.159	23303	1941	8.268160153476932
Endosphere	Rice	rice_edwards	JE.Lundberg.162	29443	2284	8.320229301348961
Endosphere	Rice	rice_edwards	JE.Lundberg.165	29363	2909	9.19120524710969
Endosphere	Rice	rice_edwards	JE.Lundberg.168	39006	2790	8.428018059328782
Endosphere	Rice	rice_edwards	JE.Lundberg.171	19266	1941	8.539652565807542
Endosphere	Rice	rice_edwards	JE.Lundberg.174	42265	2869	8.447099006317812
Endosphere	Rice	rice_edwards	JE.Lundberg.177	22649	2150	8.613515609954717
Endosphere	Rice	rice_edwards	JE.Lundberg.18	16778	1870	8.0088039082688791
Endosphere	Rice	rice_edwards	JE.Lundberg.180	35951	2569	8.879638363731047
Endosphere	Rice	rice_edwards	JE.Lundberg.183	47101	2769	8.165114519763618
Endosphere	Rice	rice_edwards	JE.Lundberg.186	46909	2166	7.058628660231683
Endosphere	Rice	rice_edwards	JE.Lundberg.189	42571	3086	8.285023714570752
Endosphere	Rice	rice_edwards	JE.Lundberg.192	18071	1963	8.952528216230988
Endosphere	Rice	rice_edwards	JE.Lundberg.21	20964	1940	8.129834625555311
Endosphere	Rice	rice_edwards	JE.Lundberg.24	16487	1771	7.475875101774836
Endosphere	Rice	rice_edwards	JE.Lundberg.27	22245	1975	8.454076948430414
Endosphere	Rice	rice_edwards	JE.Lundberg.3	10600	1541	8.060118571421544
Endosphere	Rice	rice_edwards	JE.Lundberg.30	34448	2609	8.912140538250544
Endosphere	Rice	rice_edwards	JE.Lundberg.33	59762	3287	8.983986028349568
Endosphere	Rice	rice_edwards	JE.Lundberg.36	28794	2459	8.86529508049657
Endosphere	Rice	rice_edwards	JE.Lundberg.39	37183	2415	8.239166422400071
Endosphere	Rice	rice_edwards	JE.Lundberg.42	42909	2981	9.130402517272664
Endosphere	Rice	rice_edwards	JE.Lundberg.45	51929	3043	8.422189685690515
Endosphere	Rice	rice_edwards	JE.Lundberg.48	44451	2746	8.297613622285212
Endosphere	Rice	rice_edwards	JE.Lundberg.51	16793	2201	8.921685350590616
Endosphere	Rice	rice_edwards	JE.Lundberg.54	25844	2434	8.624434356753197
Endosphere	Rice	rice_edwards	JE.Lundberg.57	21589	2009	8.260068542855102
Endosphere	Rice	rice_edwards	JE.Lundberg.6	18285	1655	7.1480083669690995
Endosphere	Rice	rice_edwards	JE.Lundberg.60	20438	2212	8.224099118463737
Endosphere	Rice	rice_edwards	JE.Lundberg.63	15855	1538	7.943799602735457
Endosphere	Rice	rice_edwards	JE.Lundberg.66	20144	1830	7.941760536870824
Endosphere	Rice	rice_edwards	JE.Lundberg.69	20449	1704	7.521685237223495
Endosphere	Rice	rice_edwards	JE.Lundberg.72	18388	1378	7.034301504498676
Endosphere	Rice	rice_edwards	JE.Lundberg.75	31355	2516	8.730871964782617
Endosphere	Rice	rice_edwards	JE.Lundberg.78	29293	2580	8.622286496495846
Endosphere	Rice	rice_edwards	JE.Lundberg.81	18415	2112	8.774730349941635
Endosphere	Rice	rice_edwards	JE.Lundberg.84	27993	2515	8.586106711986282
Endosphere	Rice	rice_edwards	JE.Lundberg.87	31590	2286	7.478227728186856
Endosphere	Rice	rice_edwards	JE.Lundberg.9	19702	1941	7.672922915938936
Endosphere	Rice	rice_edwards	JE.Lundberg.90	42115	2309	6.809178549214523
Endosphere	Rice	rice_edwards	JE.Lundberg.93	29902	2616	8.926598198713725
Endosphere	Rice	rice_edwards	JE.Lundberg.96	36069	2626	7.975166166821041
Endosphere	Rice	rice_edwards	JE.Lundberg.99	17586	2188	8.3672472777475
rhizosphere	Rice	Rice_knight	1642.MS00331	49209	5928	10.680846373697248
rhizosphere	Rice	Rice_knight	1642.MS00332	51795	5415	9.845432427254272
rhizosphere	Rice	Rice_knight	1642.MS00333	25612	4115	10.081903440318687
rhizosphere	Rice	Rice_knight	1642.MS00334	59012	5974	10.300710357917696
rhizosphere	Rice	Rice_knight	1642.MS00335	47483	5574	10.449414231746575
rhizosphere	Rice	Rice_knight	1642.MS00336	41562	5039	10.186817918238152
