SampleID	host_common_name	study	Compartment	Experiment	MDS1	MDS2	MDS3	MDS4	MDS5
1001.SKB1	Cannabis	cannabis	Soil	NA	-0.519976327956969	-0.0052000426404371115	-0.4048554957483831	-0.5506679427913783	-0.7417846295450226
1001.SKB2	Cannabis	cannabis	Soil	NA	-0.513352833439102	-0.0014222848326207486	-0.4138111489180528	-0.5643248009848161	-0.6826354485412369
1001.SKB3	Cannabis	cannabis	Soil	NA	-0.5044101839021111	-0.008734732488623711	-0.42638700146141073	-0.5666860456712497	-0.6312089636648972
1001.SKB4	Cannabis	cannabis	Soil	NA	-0.5292186153545161	-0.07050015665512566	-0.24270404327051276	-0.6274905863553594	-0.7272348578810899
1001.SKB5	Cannabis	cannabis	Soil	NA	-0.5242462253311446	-0.08668769248158242	-0.21668720698384336	-0.6484212816371543	-0.6902051603396222
1001.SKB6	Cannabis	cannabis	Soil	NA	-0.538971358623676	-0.0451822213460372	-0.12236683182151993	-0.5982300589683299	-0.7417799093411727
1001.SKB7	Cannabis	cannabis	Root	NA	-0.5139082244504126	-0.3432910203794503	0.1118647074222899	-0.528276368450702	-0.6094954361291971
1001.SKB8	Cannabis	cannabis	Root	NA	-0.5142320958945993	-0.2398055245556445	0.04628105342556099	-0.5924738589086359	-0.6459459541770898
1001.SKB9	Cannabis	cannabis	Root	NA	-0.5367636000769791	-0.2844090075602746	0.036265284648818015	-0.5404421088260799	-0.6638063109430206
1001.SKD2	Cannabis	cannabis	Soil	NA	-0.5067697136477056	-9.743287443757746e-4	-0.2641249961092619	-0.5557297487595984	-0.8376215475277693
1001.SKD3	Cannabis	cannabis	Soil	NA	-0.5153893137972825	0.03852078733036666	-0.2851295325371182	-0.555271062641302	-0.7865030146476435
1001.SKD6	Cannabis	cannabis	Soil	NA	-0.5289281474001953	0.0837334581754767	-0.28057399257016147	-0.5888686299051218	-0.5885654075867964
1001.SKD7	Cannabis	cannabis	Root	NA	-0.5288046635340531	-0.14381482030445114	0.009472800851519166	-0.5248336770572207	-0.8501729827591763
1001.SKD8	Cannabis	cannabis	Root	NA	-0.5187917415455144	-0.20652076409651984	0.028409825101171245	-0.5880829223459184	-0.7951815882927157
1001.SKD9	Cannabis	cannabis	Root	NA	-0.5360763602636891	-0.15371782433412443	-0.0015464217364174924	-0.537045374957517	-0.8418444743885828
1001.SKM1	Cannabis	cannabis	Soil	NA	-0.5161712457394039	-0.08933756007871815	-0.326064732420814	-0.6507433108899464	-0.6017102716584007
1001.SKM2	Cannabis	cannabis	Soil	NA	-0.5071437921147368	-0.10636923712861478	-0.36745696576171016	-0.6207586607537947	-0.6294868869094964
1001.SKM3	Cannabis	cannabis	Soil	NA	-0.4925723548436729	-0.05819954450313956	-0.459725562332529	-0.6036662245156762	-0.5862257367792649
1001.SKM4	Cannabis	cannabis	Soil	NA	-0.5108747146948757	-0.15597969079468713	-0.2716318641531854	-0.6502615022020427	-0.5924132268150873
1001.SKM5	Cannabis	cannabis	Soil	NA	-0.5219411367210846	-0.11774240349882503	-0.2888994435128697	-0.6420936706470334	-0.6109165251978413
1001.SKM7	Cannabis	cannabis	Root	NA	-0.5031894723022698	-0.24585955119990907	-0.022610690618473265	-0.6341239297432701	-0.6541078426551988
1001.SKM8	Cannabis	cannabis	Root	NA	-0.48203863411977904	-0.33835446423762683	-4.6542235868060416e-4	-0.6378406500002712	-0.6363392818412328
1001.SKM9	Cannabis	cannabis	Root	NA	-0.4654314903412957	-0.31837035289252025	0.04565089073996496	-0.6678810157690594	-0.6276691868822368
1642.MS00001	Rice	Rice_knight	soil	NA	0.8743613623524696	0.0797075982038286	0.045410527634675374	0.40907708565756495	-0.18998884863733237
1642.MS00002	Rice	Rice_knight	soil	NA	0.9442077001681273	0.050522441737500715	0.04073857220221865	0.41321916088464666	-0.13363864558743174
1642.MS00003	Rice	Rice_knight	soil	NA	0.9557608855429619	0.08112466918807457	-0.03693649888640865	0.4397738778276119	-0.14908491602129537
1642.MS00004	Rice	Rice_knight	soil	NA	0.9136708781942292	0.11266657128826343	0.05778890763423864	0.4229278666693469	-0.15699724489829078
1642.MS00005	Rice	Rice_knight	soil	NA	0.9563326940191421	0.050402849226382856	0.034324054088281465	0.40921645622269404	-0.09910856298894376
1642.MS00006	Rice	Rice_knight	soil	NA	0.9628776977524568	0.05225592452086135	-0.041130600644957514	0.4234267467662229	-0.0625511172960561
1642.MS00007	Rice	Rice_knight	soil	NA	0.93426791382387	0.011833546256988943	0.08566326735953848	0.35727996094389514	-0.23289567382416654
1642.MS00008	Rice	Rice_knight	soil	NA	0.9432024904254396	0.07899670337571675	0.06706940553189217	0.39668275265347536	-0.1635854600517712
1642.MS00009	Rice	Rice_knight	soil	NA	0.9258945781879784	0.08972224803171092	0.05992430131116929	0.39458684488982654	-0.14777895886485218
1642.MS00010	Rice	Rice_knight	soil	NA	0.9412991050240533	0.09460050391372436	0.015587034568185559	0.4182569917346443	-0.14649659048062463
1642.MS00011	Rice	Rice_knight	soil	NA	0.9886311616551239	0.0529331076047777	0.056792292929391225	0.296240384764428	-0.03827246962240141
1642.MS00012	Rice	Rice_knight	soil	NA	0.9930726860618455	0.03180627527629502	0.1096063851480109	0.18170240306864344	0.015183280506634585
1642.MS00013	Rice	Rice_knight	soil	NA	1.0223571819955257	0.05000022710023944	0.08506402532892601	0.3226208722956816	-0.01809126197589659
1642.MS00014	Rice	Rice_knight	soil	NA	1.0524348766943403	-0.049553935008112386	0.0930091587267934	0.20032554462713759	0.04228588154000277
1642.MS00016	Rice	Rice_knight	soil	NA	1.0293101307093229	0.0027771809309076064	0.09462633179770184	0.30764093429100514	-0.028387355105507862
1642.MS00017	Rice	Rice_knight	soil	NA	1.009703949317219	0.0032643888595203256	0.027276658577074776	0.3212128336143651	0.04729964147970247
1642.MS00018	Rice	Rice_knight	soil	NA	1.0065456369225925	0.03478957412982118	0.0950184795966495	0.2845394284882116	0.04367912224377279
1642.MS00019	Rice	Rice_knight	soil	NA	1.0178422114695975	0.05146385653672342	0.06959512955273317	0.3375295498489072	-0.03608564195112809
1642.MS00020	Rice	Rice_knight	soil	NA	1.004945490375783	0.04670301265548007	0.09014072204473458	0.28511464487472027	0.005447643602048239
1642.MS00021	Rice	Rice_knight	soil	NA	0.9994829736295942	0.05607865839697519	0.09318096226784874	0.24770417959634888	-0.033418053006864706
1642.MS00022	Rice	Rice_knight	soil	NA	0.9697943244430975	0.0695404578895621	0.07346363881345273	0.24493364820819744	-0.08351512867453481
1642.MS00023	Rice	Rice_knight	soil	NA	0.9877342556639652	0.07633352674649903	0.09118662106079571	0.24286217090471485	0.04889198374706993
1642.MS00024	Rice	Rice_knight	soil	NA	1.003720665241801	0.06332191863531637	0.1137685080000117	0.2638062303911738	-0.09396841111329733
1642.MS00025	Rice	Rice_knight	soil	NA	1.0066215987545215	-0.0071812211227800715	0.18151050477565348	0.22147110815189536	-0.06930660091123314
1642.MS00026	Rice	Rice_knight	soil	NA	0.9968593110361242	-0.002832960625998935	0.13117893838251724	0.27868200548756983	-0.07057498146303418
1642.MS00027	Rice	Rice_knight	soil	NA	1.0402533174653203	-0.02183304956443345	0.12713941422779762	0.24149756869016714	-0.05789128329557289
