Compartment	host_common_name	SampleID	richness	shannon
Bulk Soil	Soil	Ark.577	2662	508.7825463759591
Bulk Soil	Soil	Ark.578	2242	443.49077305928864
Bulk Soil	Soil	Ark.579	2201	459.65514014978095
Bulk Soil	Soil	Ark.580	2300	441.9222518416812
Bulk Soil	Soil	Ark.582	3052	676.6150529117954
Bulk Soil	Soil	Ark.583	2602	504.07328616302823
Bulk Soil	Soil	Ark.584	2566	601.2446532719852
Bulk Soil	Soil	Ark.585	2256	511.04756378794383
Bulk Soil	Soil	Ark.586	2390	495.26372601462793
Bulk Soil	Soil	Ark.587	1998	389.5719520858233
Bulk Soil	Soil	Ark.588	2173	496.6982367356039
Bulk Soil	Soil	Ark.590	2273	402.68322082131976
Bulk Soil	Soil	Ark.591	2926	581.2843853958466
Bulk Soil	Soil	Arw.45	2995	762.1753019897056
Bulk Soil	Soil	Arw.46	2972	734.6500563228375
Rhizosphere	Rice	Arw.37	3399	811.126517376518
Rhizosphere	Rice	Arw.38	3425	872.2784262618085
Rhizosphere	Rice	Arw.39	3427	732.1392915548081
Rhizosphere	Rice	Arw.40	3299	724.3456059505002
Rhizosphere	Mudplantain	Arw.10	3396	1220.2043604582298
Rhizosphere	Mudplantain	Arw.11	3282	1162.4086731167176
Rhizosphere	Mudplantain	Arw.12	3200	1061.0827148709277
Rhizosphere	Mudplantain	Arw.7	3915	916.8940092985594
Rhizosphere	Mudplantain	Arw.8	2974	757.8132607615173
Rhizosphere	Mudplantain	Arw.9	2924	853.3488954986972
Rhizosphere	Redstem	Arw.13	2894	975.4620934231474
Rhizosphere	Redstem	Arw.14	2867	941.3250979722733
Rhizosphere	Redstem	Arw.15	2768	896.8201912223824
Rhizosphere	Redstem	Arw.16	3012	1020.5274519799226
Rhizosphere	Redstem	Arw.17	2735	777.146838306171
Rhizosphere	Redstem	Arw.18	3014	893.5988483899167
Rhizosphere	Sedge	Arw.1	2984	943.7885735079544
Rhizosphere	Sedge	Arw.2	3074	957.6240041002562
Rhizosphere	Sedge	Arw.3	3156	950.7199036170267
Rhizosphere	Sedge	Arw.4	3087	1070.1572571939855
Rhizosphere	Sedge	Arw.5	2967	796.1534926237325
Rhizosphere	Sedge	Arw.6	3442	1071.2941220337786
Endosphere	Rice	Arw.41	1474	90.55153465803467
Endosphere	Rice	Arw.42	1304	85.72799960653437
Endosphere	Rice	Arw.43	1964	192.4661909031792
Endosphere	Rice	Arw.44	1633	115.25610643354783
Endosphere	Mudplantain	Arw.25	1916	148.65398995431536
Endosphere	Mudplantain	Arw.26	1568	185.43431228513623
Endosphere	Mudplantain	Arw.27	2017	266.64103520884385
Endosphere	Mudplantain	Arw.28	1235	194.79786144393097
Endosphere	Mudplantain	Arw.29	1204	82.50824563574622
Endosphere	Mudplantain	Arw.30	1491	200.12961070047237
Endosphere	Redstem	Arw.24	1326	108.03439372276786
Endosphere	Redstem	Arw.31	2555	215.37649520861822
Endosphere	Redstem	Arw.32	1848	197.10823464136004
Endosphere	Redstem	Arw.33	1583	221.8633334352842
Endosphere	Redstem	Arw.34	1665	275.1234886541162
Endosphere	Redstem	Arw.36	1694	178.557364463044
Endosphere	Sedge	Arw.19	1530	152.04652084373143
Endosphere	Sedge	Arw.20	1629	151.68729783549256
Endosphere	Sedge	Arw.21	1567	161.55250761432316
Endosphere	Sedge	Arw.23	1126	88.52233899303741
Endosphere	Sedge	Arw.35	1229	217.81570903699466
