SampleID	host_common_name	host_subject_id	study	Site	Compartment	From	Experiment	LatinName	MDS1	MDS2	MDS3	MDS4	MDS5
Ark.577	Soil	NA	domestication	Arkansas	Bulk Soil	A	Weeds	Soil	-0.9816695140166264	-0.26056394468479244	0.6639467724257943	-0.33300096093295345	0.0605431112157665
Ark.578	Soil	NA	domestication	Arkansas	Bulk Soil	A	Weeds	Soil	-0.9502759632096444	-0.21258698281805385	0.7316533908107558	-0.15657682989543817	0.09887278964135643
Ark.579	Soil	NA	domestication	Arkansas	Bulk Soil	A	Weeds	Soil	-0.8043958882579954	-0.11134527224787963	0.42702885069181895	-0.1257506462927307	0.023344595899578553
Ark.580	Soil	NA	domestication	Arkansas	Bulk Soil	A	Weeds	Soil	-0.9902607182306628	-0.15591965409591318	0.6745780903159547	-0.25387787229633824	0.12378014409735842
Ark.582	Soil	NA	domestication	Arkansas	Bulk Soil	A	Weeds	Soil	-0.9326322977417683	-0.12098232836806651	0.499014261048952	-0.2289429496218482	0.015129101077481232
Ark.583	Soil	NA	domestication	Arkansas	Bulk Soil	A	Weeds	Soil	-0.9186010704197016	-0.23206125054307888	0.5119636370540918	-0.25336910165762505	0.02883073060566797
Ark.584	Soil	NA	domestication	Arkansas	Bulk Soil	A	Weeds	Soil	-0.8039383108416254	-0.4552669925704551	0.7113488983504119	-0.37285087696274344	0.07011744557055279
Ark.585	Soil	NA	domestication	Arkansas	Bulk Soil	A	Weeds	Soil	-0.8654938597973056	0.04253771201853424	0.39747551301396794	0.18172948446867634	0.05625264109335464
Ark.586	Soil	NA	domestication	Arkansas	Bulk Soil	A	Weeds	Soil	-0.9669879440215065	-0.07993153511739846	0.5083562276163095	-0.12336718043222397	0.06750060774892737
Ark.587	Soil	NA	domestication	Arkansas	Bulk Soil	A	Weeds	Soil	-0.9353774751280568	-0.23580425051312537	0.758284234005157	-0.22429353242597852	-0.04065981179816827
Ark.588	Soil	NA	domestication	Arkansas	Bulk Soil	A	Weeds	Soil	-0.9825842914673378	-0.16766816865271647	0.646954557007628	-0.34861690824407915	0.05681552125047567
Ark.590	Soil	NA	domestication	Arkansas	Bulk Soil	A	Weeds	Soil	-0.8736497350903679	-0.1597151143895743	0.4353277768597524	-0.06770759007418269	0.10192224113497998
Ark.591	Soil	NA	domestication	Arkansas	Bulk Soil	A	Weeds	Soil	-0.8505296837173845	-0.023809791310534515	0.3623737510907713	0.1466101220481758	0.07443535085848978
Arw.1	Sedge	NA	domestication	Arkansas	Rhizosphere	A	Weeds	Cyperus iria	0.1476714835853904	0.6020022862204325	-0.2012578846374121	0.5564486345274328	1.0086937248054122
Arw.10	Mudplantain	NA	domestication	Arkansas	Rhizosphere	A	Weeds	Heteranthera limosa	0.03145317497820721	1.032511004675756	-0.4060191247515282	-0.04443614350722408	-0.7702948087189715
Arw.11	Mudplantain	NA	domestication	Arkansas	Rhizosphere	A	Weeds	Heteranthera limosa	0.07775239601880878	1.0613604247926116	-0.4543304987286377	-0.05285041901060033	-0.6612921716106112
Arw.12	Mudplantain	NA	domestication	Arkansas	Rhizosphere	A	Weeds	Heteranthera limosa	-0.001511468804226956	1.0479194108346457	-0.16176101104355112	0.12543710879613545	-1.1905262199760753
Arw.13	Redstem	NA	domestication	Arkansas	Rhizosphere	A	Weeds	Ammania sp.	-0.17244149241593523	0.5738185410973518	-0.7239962441382458	-0.15413626283928664	0.4749779112838447
Arw.14	Redstem	NA	domestication	Arkansas	Rhizosphere	A	Weeds	Ammania sp.	-0.03696685755540051	0.8522578243427471	-0.9297523667099707	-0.3350034484684962	-0.28789307754470506
Arw.15	Redstem	NA	domestication	Arkansas	Rhizosphere	A	Weeds	Ammania sp.	0.13321476074373484	0.943513668149095	-0.9926801844672535	0.32140906829267496	-0.038343996972041404
Arw.16	Redstem	NA	domestication	Arkansas	Rhizosphere	A	Weeds	Ammania sp.	0.2829239563213898	1.2340979575274857	-0.5415816386269408	0.8805104829949082	-0.2765487446625296
Arw.17	Redstem	NA	domestication	Arkansas	Rhizosphere	A	Weeds	Ammania sp.	0.35512905985487564	1.0422244115954802	-0.7214046114815079	1.0698817869757111	0.024528853987233618
Arw.18	Redstem	NA	domestication	Arkansas	Rhizosphere	A	Weeds	Ammania sp.	-0.31336860306476105	0.5372879514683182	-0.7836980423990323	0.12147454402736325	0.29945209863186845
Arw.19	Sedge	NA	domestication	Arkansas	Endosphere	A	Weeds	Cyperus iria	1.02442672380421	0.25728593020538854	1.4890145426689798	0.5587164812413734	0.7020764826093995
Arw.2	Sedge	NA	domestication	Arkansas	Rhizosphere	A	Weeds	Cyperus iria	0.004017370255765494	0.501437381745133	-0.1763963516105153	0.4370653741052368	1.104295295072501
Arw.20	Sedge	NA	domestication	Arkansas	Endosphere	A	Weeds	Cyperus iria	0.9682967935160878	-0.21713412012104621	1.1003061677614834	0.6235949872854216	0.707023446966372
