SampleID	Compartment	host_common_name	Phylum2	depth	phy_total	prop
Ark.577	Bulk Soil	Soil	[Parvarchaeota]	38465	22	5.979306400457547e-4
Ark.577	Bulk Soil	Soil	[Thermi]	38465	2	7.799095304944626e-5
Ark.577	Bulk Soil	Soil	AC1	38465	0	2.599698434981542e-5
Ark.577	Bulk Soil	Soil	Acidobacteria	38465	12474	0.3243123797639474
Ark.577	Bulk Soil	Soil	Actinobacteria	38465	4725	0.12286174803722769
Ark.577	Bulk Soil	Soil	AD3	38465	9	2.599698434981542e-4
Ark.577	Bulk Soil	Soil	Armatimonadetes	38465	699	0.018197889044870796
Ark.577	Bulk Soil	Soil	Bacteroidetes	38465	561	0.014610305204596268
Ark.577	Bulk Soil	Soil	BHI80-139	38465	2	7.799095304944626e-5
Ark.577	Bulk Soil	Soil	BRC1	38465	140	0.0036655747933239742
Ark.577	Bulk Soil	Soil	Caldiserica	38465	0	2.599698434981542e-5
Ark.577	Bulk Soil	Soil	Chlamydiae	38465	0	2.599698434981542e-5
Ark.577	Bulk Soil	Soil	Chlorobi	38465	164	0.0042895024177195444
Ark.577	Bulk Soil	Soil	Chloroflexi	38465	2774	0.07214163157073779
Ark.577	Bulk Soil	Soil	Crenarchaeota	38465	443	0.011542661051318048
Ark.577	Bulk Soil	Soil	Cyanobacteria	38465	54	0.0014298341392398482
Ark.577	Bulk Soil	Soil	Elusimicrobia	38465	59	0.0015598190609889253
Ark.577	Bulk Soil	Soil	Euryarchaeota	38465	455	0.011854624863515833
Ark.577	Bulk Soil	Soil	FBP	38465	0	2.599698434981542e-5
Ark.577	Bulk Soil	Soil	FCPU426	38465	19	5.199396869963084e-4
Ark.577	Bulk Soil	Soil	Fibrobacteres	38465	0	2.599698434981542e-5
Ark.577	Bulk Soil	Soil	Firmicutes	38465	1215	0.03161233296937555
Ark.577	Bulk Soil	Soil	Fusobacteria	38465	0	2.599698434981542e-5
Ark.577	Bulk Soil	Soil	GAL15	38465	0	2.599698434981542e-5
Ark.577	Bulk Soil	Soil	Gemmatimonadetes	38465	3099	0.0805906514844278
Ark.577	Bulk Soil	Soil	GN02	38465	2	7.799095304944626e-5
Ark.577	Bulk Soil	Soil	GN04	38465	6	1.8197889044870794e-4
Ark.577	Bulk Soil	Soil	GOUTA4	38465	6	1.8197889044870794e-4
