Tray	Soil	Treatment	Column	Row	Stage	Shoot_length	Shoot_fresh_weight	Root_dry_weight	Shoot_dry_weight
1	Dav	NC	A	1	4	45	0.4	0.0205	0.1067
1	Dav	NC	A	2	4	43.7	0.46	0.0329	0.1265
1	Dav	NC	A	3	4	43.8	0.48	0.0336	0.1206
1	Dav	NC	A	4	5	49.3	0.57	0.0438	0.1462
1	Dav	NC	A	5	5	45.5	0.5	0.0344	0.1212
1	Dav	NC	A	6	NA	NA	NA	NA	NA
1	Dav	NC	A	7	3	30.4	0.19	0.015	0.0443
1	Dav	NC	A	8	4	45	0.4	0.0258	0.1008
1	Dav	NC	A	9	3	30.5	0.13	0.0076	0.0379
1	Dav	NC	A	10	4	42.8	0.33	0.0217	0.0916
1	Dav	NC	A	11	5	46.1	0.57	0.0412	0.145
1	Dav	NC	A	12	4	46.9	0.43	0.0369	0.1215
1	Dav	NC	B	1	5	44.7	0.51	0.0262	0.1202
1	Dav	NC	B	2	3	41	0.36	0.0176	0.0852
1	Dav	NC	B	3	5	45.5	0.53	0.0317	0.133
1	Dav	NC	B	4	4	44.5	0.33	0.0139	0.0766
1	Dav	NC	B	5	4	43.5	0.45	0.0234	0.1121
1	Dav	NC	B	6	5	48.2	0.49	NA	0.1295
1	Dav	NC	B	7	4	44.6	0.49	0.0257	0.1216
1	Dav	NC	B	8	5	48.3	0.63	0.0328	0.1373
1	Dav	NC	B	9	5	45.4	0.47	0.0222	0.1182
1	Dav	NC	B	10	5	46	0.58	0.0275	0.1396
1	Dav	NC	B	11	5	49	0.51	0.0297	0.1259
1	Dav	NC	B	12	5	46	0.44	0.0239	0.1107
1	Dav	NC	C	1	5	43.5	0.47	0.0293	0.1038
1	Dav	NC	C	2	5	49.9	0.6	0.0268	0.1381
1	Dav	NC	C	3	5	45.9	0.57	0.03	0.1322
1	Dav	NC	C	4	5	47.1	0.49	0.0222	0.1174
1	Dav	NC	C	5	5	43.5	0.45	0.0199	0.1055
1	Dav	NC	C	6	5	44.5	0.53	0.0257	0.1145
1	Dav	NC	C	7	5	44.1	0.43	0.0222	0.1
1	Dav	NC	C	8	5	50.3	0.57	0.0239	0.1356
1	Dav	NC	C	9	4	32.7	0.18	0.0115	0.0371
1	Dav	NC	C	10	4	41.9	0.37	0.0102	0.073
1	Dav	NC	C	11	5	50	0.65	0.0352	0.1433
1	Dav	NC	C	12	5	48.1	0.48	0.024	0.1178
1	Dav	NC	D	1	5	46.4	0.51	0.0214	0.1235
1	Dav	NC	D	2	5	49.2	0.61	NA	0.1375
1	Dav	NC	D	3	4	40	0.36	0.0253	0.0833
1	Dav	NC	D	4	4	41.6	0.41	0.0217	0.1008
1	Dav	NC	D	5	3	32	0.16	0.0079	0.0305
1	Dav	NC	D	6	4	45.7	0.47	0.0243	0.1136
1	Dav	NC	D	7	4	43	0.38	0.0225	0.0867
1	Dav	NC	D	8	4	44	0.43	0.0159	0.0987
1	Dav	NC	D	9	4	39.7	0.29	0.0094	0.0645
1	Dav	NC	D	10	4	45.6	0.5	0.0295	0.1163
1	Dav	NC	D	11	5	47.1	0.51	0.0274	0.1274
1	Dav	NC	D	12	5	42.4	0.39	0.0148	0.0856
1	Dav	NC	E	1	4	43.4	0.34	0.0195	0.0785
1	Dav	NC	E	2	5	47.3	0.55	0.0299	0.1296
1	Dav	NC	E	3	5	46.1	0.48	0.025	0.1172
1	Dav	NC	E	4	NA	NA	NA	NA	NA
1	Dav	NC	E	5	4	39	0.35	0.0175	0.075
1	Dav	NC	E	6	4	40.9	0.42	0.0287	0.0943
1	Dav	NC	E	7	5	48.5	0.59	0.0302	0.1429
1	Dav	NC	E	8	4	43.3	0.42	0.0189	0.0883
1	Dav	NC	E	9	5	47.5	0.55	0.0209	0.1219
1	Dav	NC	E	10	5	47.1	0.54	0.0232	0.1192
1	Dav	NC	E	11	4	45.1	0.4	NA	0.0943
1	Dav	NC	E	12	4	44.9	0.39	0.0217	0.0959
1	Dav	NC	F	1	5	46.5	0.51	0.0252	0.1222
1	Dav	NC	F	2	4	43.1	0.35	0.0232	0.0765
